Slow-Time Signal [I]_x,Slow-Time Signal [I]_y,Slow-Time Signal [Q]_x,Slow-Time Signal [Q]_y,Envelop_x,Envelop_y,Wrapped Angle_x,Wrapped Angle_y,Phase Unwrap_x,Phase Unwrap_y,Breathing_x,Breathing_y,Heart_x,Heart_y
184.7532379627,0.0003159607,184.7532379627,0.0017533266,184.7532379627,0.0017815682,184.7532379627,79.7845714442,184.7532379627,-7120.2154285558,184.7532379627,-0.2135107499,184.7532379627,6.1891724940
184.7592384815,0.0008629032,184.7592384815,0.0020042445,184.7592384815,0.0021821086,184.7592384815,66.7062901467,184.7592384815,-7133.2937098533,184.7592384815,-0.1740090888,184.7592384815,3.0418096299
184.7999646664,0.0013082074,184.7999646664,0.0024159715,184.7999646664,0.0027474215,184.7999646664,61.5652099648,184.7999646664,-7138.4347900352,184.7999646664,-0.1181315461,184.7999646664,-0.5264508559
184.804964304,0.0016110374,184.804964304,0.0017618393,184.804964304,0.0023873666,184.804964304,47.5599990699,184.804964304,-7152.4400009301,184.804964304,-0.0466355930,184.804964304,-4.1420377555
184.8294398785,0.0016764316,184.8294398785,0.0008195394,184.8294398785,0.00186603,184.8294398785,26.0521340188,184.8294398785,-7173.9478659812,184.8294398785,0.0391497630,184.8294398785,-7.4578231113
184.8344390392,0.0017734232,184.8344390392,0.0003786158,184.8344390392,0.0018133890,184.8344390392,12.0513970928,184.8344390392,-7187.9486029072,184.8344390392,0.1371598216,184.8344390392,-10.2139017307
184.8748710155,0.0016885486,184.8748710155,-0.0001559202,184.8748710155,0.0016957321,184.8748710155,-5.2757172364,184.8748710155,-7205.2757172364,184.8748710155,0.2447836585,184.8748710155,-12.1705217828
184.8848307133,0.0015186343,184.8848307133,-0.0006887147,184.8848307133,0.0016675066,184.8848307133,-24.3947315198,184.8848307133,-7224.3947315198,184.8848307133,0.3589646612,184.8848307133,-13.1730406223
184.9218039513,0.0014486545,184.9218039513,-0.0008099450,184.9218039513,0.001659702,184.9218039513,-29.2096256336,184.9218039513,-7229.2096256336,184.9218039513,0.4765867339,184.9218039513,-13.1907569927
184.9268143177,-0.0004558732,184.9268143177,-0.0010297327,184.9268143177,0.0011261305,184.9268143177,-113.8794624166,184.9268143177,-7313.8794624166,184.9268143177,0.5949764396,184.9268143177,-12.0394992046
184.9511098862,-0.0000849871,184.9511098862,-0.0011298609,184.9511098862,0.0011330527,184.9511098862,-94.3016346444,184.9511098862,-7294.3016346444,184.9511098862,0.7105110086,184.9511098862,-10.1880305854
184.9561300278,0.0003687618,184.9561300278,-0.0013013892,184.9561300278,0.0013526267,184.9561300278,-74.1793870420,184.9561300278,-7274.1793870420,184.9561300278,0.8201381980,184.9561300278,-7.7291853271
184.9953386784,0.0006410338,184.9953386784,-0.0014471598,184.9953386784,0.0015827810,184.9953386784,-66.1085768848,184.9953386784,-7266.1085768848,184.9953386784,0.919826606,184.9953386784,-4.7810826256
185.0127992630,0.0010349725,185.0127992630,-0.0015210421,185.0127992630,0.0018397656,185.0127992630,-55.7672009476,185.0127992630,-7255.7672009476,185.0127992630,1.0057912964,185.0127992630,-1.5482313179
185.0268287659,0.0010703702,185.0268287659,-0.0015622895,185.0268287659,0.0018937901,185.0268287659,-55.5838171935,185.0268287659,-7255.5838171935,185.0268287659,1.0746921133,185.0268287659,1.7923596911
185.0423507690,0.0010373748,185.0423507690,-0.0016676714,185.0423507690,0.0019639945,185.0423507690,-58.1163265931,185.0423507690,-7258.1163265931,185.0423507690,1.1237185158,185.0423507690,5.0262298014
185.0726833344,0.0013723902,185.0726833344,-0.0017070983,185.0726833344,0.0021903514,185.0726833344,-51.2030995106,185.0726833344,-7251.2030995106,185.0726833344,1.1506527403,185.0726833344,7.9245365312
185.0786881447,0.0024755679,185.0786881447,0.0018529605,185.0786881447,0.0030922320,185.0786881447,36.8148230917,185.0786881447,-7163.1851769083,185.0786881447,1.1539454854,185.0786881447,10.1594027802
185.1180725098,0.0024612959,185.1180725098,0.0025995300,185.1180725098,0.0035798790,185.1180725098,46.5646186612,185.1180725098,-7153.4353813388,185.1180725098,1.1327831735,185.1180725098,11.9726376712
